,text,depression_level
215,"Me estoy convirtiendo en algo que no quiero, alguien borde y sin sentimientos por nadie.",5 stars
216,Mejor irse que la cosa va a peor como cada noche.,1 star
217,"Entiendo perfectamente las miradas de asco, soy inferior a cualquiera.",5 stars
218,"Soy demasiado debil mentalmente, por eso soy un inutil y por eso estoy asi.",2 stars
219,No puedo ser más mierda.,2 stars
220,"Ojala morirme pronto, esto es insoportable.",1 star
221,Ojala tener valentía para suicidarme.,1 star
222,"Cada día molesto y hablo menos con la gente, es lo mejor.",5 stars
223,Soy una mierda para todos y eso me hace más mierda aun.,1 star
224,"Lástima no atreverme a acabar con todo, sería lo fácil y lo correcto para mi y para todos.",5 stars
225,"Estoy tan triste, tan vacía, me siento tan mal",1 star
226,Que insano eso de estar todo el día llorando 🙍🏼‍♀️,5 stars
227,"Estoy cansada de llorar, estuve toda la semana llorando",1 star
228,No se que hacer con mi vida,1 star
229,Tengo un mal presentimiento de que no voy a salir de esta por mucho tiempo 😔,1 star
230,Me desespera más no poder salir de esta depreciación que estar en ella,1 star
231,"Estoy tan depresiva, tan sola, tan vacía",1 star
232,"Todo el día con un nudo en la garganta, un vacío en el estómago y un dolor en el pecho...",1 star
233,Cada vez estoy más hundida en todo esto y no veo que alguien me intenté ayudar a salir adelante,1 star
234,"Yo ya había salido de todo esto, de esta soledad",5 stars
235,No puedo dormir. Ni quiero.,1 star
236,"Tratamiento, día 736. El psiquiatra tenía razón cuando me comentó no cambiar la dosis de la medicina si iba a tener… EXTERNAL_LINK",1 star
237,No puedo dormir y La Venus de las pieles no es la mejor compañía.,2 stars
238,"Tratamiento, día 708. No recuerdo un día en el que haya estado más triste y apagada durante el tratamiento como hoy… EXTERNAL_LINK",1 star
239,Tardé tanto en quedarme dormida anoche que ahora estoy toda deshecha en la cama y ya es bastante tarde.,2 stars
240,"Tratamiento día, 712. Me siento cansada, triste y a la expectativa.",1 star
241,"Tratamiento, día 836. Escuché que el humano se enferma porque no pone orden a lo que piensa y siente. Así, toma med… EXTERNAL_LINK",1 star
242,Ayer se me olvidó tomar la venlafaxina y hoy estoy mareada pero mi flojera es mayor.,2 stars
243,"Tratamiento, día 718. Hoy comencé el día estando desanimada y triste. El ejercicio me ayudó mucho, estoy pensando e… EXTERNAL_LINK",5 stars
244,"Tratamiento, día 830. Estoy triste y estresada. Aun así me río fácil, fuerte y con ganas, como si en ese momento no… EXTERNAL_LINK",3 stars
245,"Tratamiento, día 834. Exploté por frustración y enojo. Lloré y me desahogué y listo, dejé de ser verde.",1 star
246,Dice mi cuerpo que baje por comida pero no se mueve ni hace el intento.,1 star
247,"Tratamiento, día 832. Les dije a mis papás que no era malo tener miedo, llorar o enojarse. Y creo que se sacaron de… EXTERNAL_LINK",1 star
248,"Tratamiento, día 620. A ratos estoy muy triste y a veces se me olvida todo lo que pueda tener dentro. ¿Es porque me voy a casar?",1 star
249,Odio ser tan insegura de todo; estoy cansada de vivir con ese constante miedo de fallar y decepcionar a las personas que mas quiero.,1 star
250,"Me siento la persona mas reemplazable del mundo, siempre.",5 stars
251,"Quiero estar bien y no lo consigo, por mucho que me esfuerce siempre va a haber algo que me haga mal.",2 stars
252,Mis ganas de cortarme son enormes. 😩,1 star
253,"Estoy tan acostumbrada a estar mal, que ya no trato ni de entender que me pasa.",1 star
254,Cada día se vuelve mas insoportable fingir que estoy bien cuando en realidad no es así.,2 stars
255,Mi vida sería tan diferente si tuviera aunque sea un poco de autoestima.,3 stars
256,"Hay días en los que el vacío que llevo dentro se siente mas pesado que otras veces, pero no entiendo por qué.",3 stars
257,Siento que no encajo en ningún lugar.,2 stars
258,Que triste sentirse en tanta soledad cuando estas rodeado de gente que dice ser tu amigo.,1 star
259,Odio esa sensación de no ser suficiente para nadie.,1 star
260,"Últimamente no soporto ni la mínima cosa, ya me cansaron",1 star
261,Que alguien me diga por qué en las noches me pongo re insoportable,1 star
262,Que vida de mierda la mía :(,1 star
263,Me siento muy triste y bueno mañana seguro amanezco peor,1 star
264,Es inicio de semana y ya estoy cansada y estresada,1 star
265,"Tengo sueño, flojera, cansancio, hambre, tengo todo, menos felicidad",1 star
266,La hora que es y yo sin poder dormir lpm,5 stars
267,No soporto nada,1 star
268,"Seguro si vuelvo a cerrar todas mis redes como hace años, nadie lo va a notar porque a todos les importo una mierda",1 star
269,Hace una hora me sentía de lo más feliz y ahorita sólo me quiero morir,1 star
270,Todo el tiempo me siento triste lpm ya estoy harta,1 star
271,Me siento ahogada...,1 star
272,Cuando te pones a leer la historia clínica y ves la parte de cuando iba al psicólogo y psiquiatra...🔫🔫🔫,5 stars
273,"A veces uno cae en depresión, y sólo quiere abrazar a alguien para desahogarse, pero no puede... No hay nadie a quien abrazar.",2 stars
274,Últimamente no estoy soportando nada... que mierda me esta pasando,1 star
275,Soy el ejemplo de decepción en pinta sin duda,1 star
276,Una decepción atrás de otra...,1 star
277,No puedo hacer nada bien...,1 star
278,Lo que me odio no tiene explicación....,1 star
279,Ni ganas de vivir...,1 star
280,Autoestima por el piso...,1 star
281,Esto no se puede llamar vida si todo los días te despiertas deseando nunca mas hacerlo....,1 star
282,"Al final siempre se vuelve a caer en lo mismo, una y otra vez",2 stars
283,La cabeza llena de demonios,1 star
284,"Podes sentirte bien varios días, pero en algun momento volves a caer en ese mismo agujero que tanto te costo salir",2 stars
285,"No sirvo para nada, y nunca servi",1 star
286,"Me inundan las ganas de volver a cortarme,  sentir la navaja en mi piel, intento resistirme, aunque se que voy a volver a perder esta guerra",1 star
287,Que ganas de romper todo,1 star
288,Me siento tan perdida,1 star
289,Nunca me senti tan sola,1 star
290,"Soy un desastre, un maldito desastre",1 star
291,"Cuando sientes que no puedes estar peor, pasa algo que te hacer dar cuenta que hay un pozo más profundo",3 stars
292,"No siento mi cuerpo, me duele todo. Preferiría estar muerta.",1 star
293,"Primera sesión con mi psicóloga después de mucho y quiere que hable de mi ex. 
Estás loca mujer., Más que yo",5 stars
294,"Para que mierda existo si me siento tan sola, estoy harta.",2 stars
295,No me levanté en todo el día de mi cama. No quiero que me molesten,2 stars
296,"No tengo miedo de medicarme, solo espero que sea mejor para mí y no termine peor que ahora",3 stars
297,"Porque la vida me sigue pegando tan duro, ya no puedo más.",5 stars
298,Desde anoche no se me quita esa sensación de no poder respirar,1 star
299,"Tengo mil ganas de pegarme un tiró, de acabar con toda esta mierda
Ya no puedo más, ya nadie me puede salvar.",1 star
300,Quiero dejar de sentirme mal todo el tiempo.,1 star
301,El ataque de ansiedad que tuve ayer fue uno de los más feos en toda mi vida.,5 stars
302,"La noche está fría, no puedo dormir
Ojalá el insomnio se fuera, pero nunca se va.",1 star
303,Lágrimas de noche un infierno de día,5 stars
304,Hoy estoy más caída que nunca.,1 star
305,No llegó a nada. Siempre me quedó parada en el camino.,1 star
306,"No quiero comer. 
No quiero vivir.
No quiero estudiar.
No quiero sufrir.
No quiero seguir
No quiero luchar
No quiero sentir.

No quiero..",1 star
307,Estoy muy angustiada. De sentir que no sirvo para nada.,1 star
308,"Me apegue tanto a las acompañante terapéuticas que me cuesta mucho soltarla.
Por que a pesar de que sea una mierda. Tengo sentimiento.",3 stars
309,Me siento que no puedo más.,2 stars
310,Odio los antidepresivos. Remedios de mierda. Que al pedo los tomó que no me hacen absolutamente nada.,1 star
311,"Necesito a mi psiquiatra.
Necesito que me suba la medicación.",1 star
312,Quiero irme de acá.,1 star
313,Me tomaría todas las pastillas de una vez a ver si hacen efecto,3 stars
314,Quiero sentirme viva... Odio estar tan muerta.,1 star
315,Hasta fracase en los intentos de matarme. Soy una boluda fracasada. Me odio.,1 star
316,Que depresión de mierda.,2 stars
317,Me duele la cabeza. Quiero dormir.,1 star
318,"Los miedos, me impiden tantas cosas.",5 stars
319,Tantas ganas de cortarme. Quiero sacarme el dolor que siento dentro de mi. Aunque no dure demasiado. Pero me alivia.,3 stars
320,Pienso a veces que no tengo salida de esto,3 stars
321,Por que no me muero de una vez.,1 star
322,Estoy tan cansada de ser esta mierda que soy,1 star
323,La depresion y los estudios no son buena conbinacion,2 stars
324,Que vacía me siento,2 stars
325,Más sola que nunca,1 star
326,Me siento sola,3 stars
327,No valgo nada,1 star
328,Me voy a suicidar,1 star
329,Ojalá nunca hubiera nacido,1 star
330,"Antes estaba bien, y ahora estoy rota , más rota, y ya no sé qu hacer para arreglarme",2 stars
331,Odio mi vida,5 stars
332,No me gusta mi vida,2 stars
333,No paro de llorar que mierda esto.,1 star
334,Si tuviera el valor de matarme ya lo hubiera hecho o estaría en eso.,1 star
335,"Lloro con un dolor,con una angustia tan grande.",5 stars
336,"Estoy muy deprimida,y mayor mente siempre es mi culpa.",1 star
337,Tan destrozada me siento que no doy mas,1 star
338,"Me voy a terminar matando firme si no terminó muerta en breve,termino con todas las drogas tratando de explicarme y perder la memoria",1 star
339,Ya veo que no paró mas de llorar todo el tiempo llorando deprimida acostada sin comer sin bañarme tdo,5 stars
340,Todo esto para que?  Para que carajo sólo lloro y digo porque todo una mierda,1 star
341,Que mal me siento me duele todo,5 stars
342,Es mas fácil matarme que vivir así.,5 stars
343,"Estoy vacía.

Si no fuese por el dolor, ya no me quedaría vida.",1 star
344,Quiero llorar muy fuertemente.,5 stars
345,Necesito descansar pero mi mente se opone a ello.,3 stars
346,"Pensaba que la medicación no servía para una puta mierda, pero a los dos dias de dejar de tomarmela me han dado una… EXTERNAL_LINK",1 star
347,"Me ha citado otra psiquiatra, ahora tengo dos.",2 stars
348,No aguanto más.,2 stars
349,Quiero morirme y no tengo miedo.,5 stars
350,"Me van a cambiar el tratamiento y eso significa que los brotes psicóticos van a volver.

Y encima me quieren ingresar de nuevo.",2 stars
351,"A ver cuando la gente empieza a concienciarse de que una enfermedad mental no se padece porque uno quiera, nadie quiere estar ENFERMO.",3 stars
352,En la noche es donde los pensamientos me hacen mierda,2 stars
353,"Estoy bien, sólo que a veces me dan ganas de matarme pero sólo es eso.",3 stars
354,"Siempre lo hecho a perder , mis relaciones, mis amigxs, la escuela, simplemente todo.",5 stars
355,Y todo empezó ir mal otra vez,1 star
356,Nadie debería de irse a dormir pensando que es un inútil,1 star
357,Ahora ya no siento nada.,1 star
358,"Ese dolor que te da de repente y no sabes que hacer, sólo tenes ganas de llorar y dejar de existir porque piensas q… EXTERNAL_LINK",1 star
359,Odio ser tan sensible a todo,5 stars
360,No soy suficiente para nadie y ya me eh acostumbrado a eso.,1 star
361,No se dan una idea de lo que me está pasando,2 stars
362,Me falta valor hasta para suicidarme,1 star
363,Soy un fracaso en todos los sentidos.,1 star
364,"Todo lo que hago, lo hago mal.
Hago daño a la gente de mi alrededor, sin querer.
Me doy asco físicamente.
A parte d… EXTERNAL_LINK",5 stars
365,Cuando estas sola y no puedes mas con tu vida...🔪,1 star
366,A veces el que calla es el que pide ayuda a gritos..,3 stars
367,Todo sería mas fácil si estuviera muerta,3 stars
368,Que nadie me valore me hace sentirme aún mas mierda de lo que soy,1 star
369,"Soy una mierda, todo lo hago mal",1 star
370,Me quiero morir,1 star
371,"No puedo mas con mi vida, nada puede irme peor..",2 stars
372,Puedo sentir la angustia en mi.,5 stars
373,Casi 20 años y sigo sin sentirme feliz.,5 stars
374,"No soy nadie,
No he sido nadie
Y me voy a morir siendo nadie.",1 star
375,"Siento que no tengo un propósito, que estoy aquí sólo para llenar espacio, nadie me quiere, mi familia piensa o sab… EXTERNAL_LINK",1 star
376,"El mundo no necesita más gente como yo, gente inútil, buena para nada, maldita que no hace nada por el bien de los demás ni el propio.",1 star
